Link,Diện tích,Hướng ban công,Hướng nhà,Khoảng giá,Mặt tiền,Nội thất,Pháp lý,Số phòng ngủ,"Số phòng tắm, vệ sinh",Số tầng,Đường vào
https://batdongsan.com.vn/ban-nha-rieng-duong-duong-quang-ham-phuong-6-14/can-duy-nhat-gan-2-tang-5x15m-hem-4m-gan-khu-an-uong-gia-7-2-ty-o-ngay-pr43253686,75 m²,,,"7,2 tỷ",5 m,Cơ bản.,Sổ đỏ/ Sổ hồng.,3 phòng,3 phòng,2 tầng,4 m
https://batdongsan.com.vn/ban-dat-duong-cay-da-xa-tan-phu-trung/-1-xet-ngan-gia-u-tu-pr44211696,135 m²,,,"1,2 tỷ",6 m,,Sổ đỏ/ Sổ hồng,,,,4 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/gio-hang-chiet-khau-khung-28-1pn-2-3-ty-2pn-2-9-ty-2pn-70m2-3-4-ty-vuon-nhat-pr44128313,48 m²,Tây - Bắc,Đông - Nam,"2,28 tỷ",,Cơ bản,Hợp đồng mua bán,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/can-dep-gia-tot-view-ho-hiem-lh-pr44326203,75 m²,,,10 tỷ,,,Hợp đồng mua bán,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-eaton-park/-09-2025-truc-tiep-gamuda-land-1pn-6-5-ty-2pn-9-5-ty-3pn-15-8-ty-cam-ket-ck-cao-nhat-pr43914293,51 m²,,,"6,5 tỷ",,Đầy đủ,Hợp đồng mua bán,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lien-phuong-phuong-an-phu-prj-lumiere-midtown/10-suat-ngoai-giao-the-global-city-chiet-khau-18-he-truc-tiep-cdt-pr43072287,80 m²,,,8 tỷ,,,,2 phòng,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/suat-ngoai-giao-can-gio-uu-dai-chiet-khau-18-vi-tri-sieu-dep-lh-chu-dau-tu-pr43991493,200 m²,,,Thỏa thuận,,,,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/-ban-gap-nhieu-1pn-2pn-3pn-4pn-shophouse-da-co-so-hong-tai-0901511155-pr36227388,128 m²,,,13 tỷ,,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/mo-ban-can-re-nhat-va-nhan-booking-chon-can-dep-theo-dung-y-khach-hang-lh-em-hung-pr44283895,120 m²,,,Thỏa thuận,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/79-can-suat-noi-bo-can-gio-chiet-khau-22-booking-tang-5-chi-vang-tai-paradise-pr44193471,100 m²,,,102 triệu/m²,,,,5 phòng,4 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-phuoc-thien-phuong-long-binh-3-prj-the-origami-vinhomes-grand-park/chinh-chu-gui-ban-1pn-sieu-vip-tai-phan-khu-vinmes-park-pr44337501,43 m²,,,"2,55 tỷ",,Không nội thất,Hợp đồng mua bán,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/phong-kinh-doanh-chu-dau-tu-can-gio-cap-t-gia-ban-moi-t-du-kien-7-5-ty-can-pho-pr44270076,"112,5 m²",Đông - Nam,Đông - Nam,Thỏa thuận,17 m,Cơ bản,Sổ đỏ/ Sổ hồng,5 phòng,5 phòng,5 tầng,17 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-eaton-park/duy-nhat-1-goc-2-pn-dep-nhat-du-om-tron-view-khu-the-thao-nam-rach-chiec-pr44337154,75 m²,,,"12,3 tỷ",,,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-thu-thiem-prj-empire-city-thu-thiem/17-3-ty-gia-re-nhat-thi-truong-cho-2pn-tai-city-pr44274959,93 m²,Đông - Nam,,"17,3 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-solari-vinhomes-grand-park/soc-3pn2wc-tropical-gia-3-761-ty-cam-ket-thap-nhat-thi-truong-thanh-toan-180-ngay-cho-vay-70-pr43760289,83 m²,,,"3,65 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-thanh-my-prj-vinhomes-grand-park/3pn-beverly-chiet-khau-22-5-thang-10-tang-goi-noi-that-300tr-tang-them-1-5-chiet-khau-dac-quyen-pr44336972,83 m²,,,"3,7 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/cdt-bung-gio-hang-cao-cap-east-mark-1pn-1-63m2-2pn-70m2-tu-2-ty950-nhan-ngay-so-hong-pr44322379,63 m²,Bắc,Nam,"2,95 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/chinh-c-nhan-booking-1-chieu-cac-can-tai-du-an-paradise-pr44284528,"318,9 m²",Đông - Nam,Đông - Nam,"32,5 tỷ",5 m,Không nội thất,Hợp đồng mua bán,6 phòng,5 phòng,5 tầng,25 m
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/suat-noi-bo-cdt-dau-tien-gia-tot-nhat-view-bien-vi-tri-dep-pr44305923,220 m²,,,Thỏa thuận,,,,,,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/chinh-thuc-ra-mat-gio-hang-can-gio-chiet-khau-23-tang-500-trieu-khi-mua-pr44336359,75 m²,,,102 triệu/m²,,,,5 phòng,4 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-eaton-park/full-gio-hg-toa-a5-a6-du-chiet-khau-len-den-12-pr41094269,55 m²,,,7 tỷ,,Đầy đủ.,Hợp đồng mua bán,1 phòng,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/-18-10-2025-ban-giao-trc-tet-mua-truc-tiep-cdt-1pn-3-1-ty-2pn-3-6-ty-3pn-4-45ty-pr44314240,63 m²,,,"3,1 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-n1-phuong-son-ky-prj-diamond-centery/nhan-booking-tra-cham-3-nam-20-nhan-nha-gia-7ty8-co-o-xe-pr42435827,121 m²,Đông - Bắc,Tây - Nam,"8,7 tỷ",,Cơ bản,Hợp đồng mua bán,3 phòng,3 phòng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-duy-tan-phuong-15-7/ban-tien-kinh-doanh-p15-phu-nhuan-gan-nga-3-huynh-van-banh-phan-dinh-phung-pr43797095,21 m²,,,"6,3 tỷ","3,6 m",Tặng full nột thất cao cấp.,Sổ đỏ/ Sổ hồng.,2 phòng,2 phòng,2 tầng,
https://batdongsan.com.vn/ban-dat-duong-nguyen-dinh-kien-xa-tan-nhut/hang-hiem-nen-goc-2-mat-tien-ngay-truong-thcs-chi-28-trieu-m2-pr43430620,"392,6 m²",,,"11,05 tỷ",10 m,,Sổ đỏ/ Sổ hồng.,,,,20 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-van-linh-phuong-tan-thuan-tay-1-prj-eco-green-sai-gon/ban-3-png-ngu-94-76m2-bep-mo-tang-cao-view-dep-gia-6-86-ty-lh-pr43548457,"94,76 m²",,,"8,5 tỷ",,Nội thất cơ bản chủ đầu tư.,Hợp đồng mua bán,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-22-prj-saigon-pearl/hai-yen-nam-minh-land-ban-2-png-ngu-85m2-tang-cao-view-song-quan-1-pr44268788,84 m²,,,"10,5 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng.,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-dat-duong-le-co-phuong-an-lac-6/c-b-mtkd-30m-kdc-nam-hung-vuong-qu-binh-t-pr44148404,97 m²,,Đông,"10,5 tỷ",5 m,,Có sổ.,,,,30 m
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-diep-minh-tuyen-phuong-phuoc-long-b-prj-khu-dan-cu-gia-hoa/an-kdc-7x22m-154-m2-12-6-ty-mat-tien-16m-gan-cv-tttm-pr42118014,"399,5 m²",,Đông - Nam,115 triệu/m²,,,Sổ đỏ/ Sổ hồng,,,,16 m
https://batdongsan.com.vn/ban-dat-xa-an-phu-1/ban-hai-mat-tien-dien-tich-1-416-9-m-gia-uy-tin-2-5-ty-pr43241862,"1.416,9 m²",,,"2,5 tỷ",,,Sổ đỏ/ Sổ hồng,,,,30 m
https://batdongsan.com.vn/ban-dat-nen-du-an-duong-diep-minh-tuyen-phuong-phuoc-long-b-prj-khu-dan-cu-gia-hoa/ban-biet-thu-10x20m-dn-view-song-doi-dien-cong-vien-re-nhat-kdc-chi-80tr-m2-pr42290233,300 m²,,,95 triệu/m²,15 m,,Sổ đỏ/ Sổ hồng,,,,12 m
https://batdongsan.com.vn/ban-nha-rieng-pho-phan-dang-luu-phuong-3-19/ha-sau-200tr-vai-buoc-ra-mat-tien-sat-quan-1-gan-30m2-bt-chi-3-250-ty-pr44316181,"26,4 m²",,Đông - Bắc,"3,25 tỷ","3,1 m",Cơ bản,Sổ đỏ/ Sổ hồng,,,1 tầng,"2,2 m"
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/-cap-nhat-ngay-13-10-2025-mua-truc-tiep-cdt-gamuda-1pn-2-36-ty-2pn-4-79-ty-3pn-6-81-ty-pr44269249,68 m²,,,"4,79 tỷ",,,Hợp đồng mua bán.,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-vinhomes-grand-park/gia-re-nhat-lich-su-chot-nhanh-2pn-dt-lon-4-5-ty-vay-70-nha-moi-cdt-bao-hanh-5-nam-pr43760934,83 m²,,Đông,"4,5 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/chinh-thuc-nhan-booking-chi-100tr-thap-b-dep-nhat-du-an-tt-chi-5-ky-hdmb-nhan-nha-q4-2027-pr44275902,82 m²,,,72 triệu/m²,,Cơ bản,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-cach-mang-thang-tam-phuong-10-3/tin-that-100-ban-134-1-40-ty-328-m2-gia-cuc-chat-hot-pr41762233,328 m²,,Đông - Nam,"38,5 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,23 phòng,21 phòng,3 tầng,6 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-xa-lo-ha-noi-phuong-thao-dien-prj-masteri-thao-dien/gio-hang-1-pn-gia-tot-nhat-tro-vay-len-den-70-lh-e-dung-pr43279980,68 m²,,,Thỏa thuận,,Đầy đủ,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/3pn-dep-nhat-140m2-view-song-cong-vien-chi-9-ty-call-0901692239-pr23948214,126 m²,,,"10,2 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-hung-nhon-xa-tan-kien/co-tam-ban-day-tro-1-kiot-5-phong-kinh-doanh-dang-cho-thue-thu-nhap-12tr-thang-shr-pr44334988,116 m²,,,920 triệu,12 m,,,4 phòng,4 phòng,,6 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-long-phuoc-2-prj-chung-cu-elysian/ban-thap-b-chi-350-dep-nhat-du-an-voi-chinh-sach-khung-chi-thanh-toan-10-den-khi-nhan-nha-pr44334742,52 m²,Tây - Nam,Đông - Bắc,72 triệu/m²,,Đầy đủ,Hợp đồng mua bán,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-phuong-long-binh-3-prj-the-beverly-solari-vinhomes-grand-park/ban-ch-3pn-82m2-pk-tropical-view-song-boi-phao-a-ky-tt-cdt-ck-23-8-300tr-noi-that-pr44334697,82 m²,Đông - Bắc,Đông - Nam,"3,98 tỷ",,,Hợp đồng mua bán,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/mo-ban-can-gio-thang-11-quy-can-hau-ven-bien-so-luong-gioi-han-pr43989387,120 m²,,,95 triệu/m²,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dao-tri-phuong-phu-thuan-3-prj-q7-saigon-riverside/chinh-chu-ban-1-trong-3-67m2-2pn-tai-sai-gon-quan-7-pr44252544,67 m²,Đông - Nam,Tây - Bắc,"3,79 tỷ",,Đầy đủ,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-3pn-2wc-tai-vinmes-1-1-ty-102m2-pr43329923,126 m²,Nam,Đông,"10,1 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-eaton-park/gio-hang-by-gamuda-land-giai-doan-cuoi-thap-a3-cove-va-a4-lagoon-dep-nhat-ck-10-pr43948496,"49,7 m²",,,Thỏa thuận,,Cơ bản,Hợp đồng mua bán,1 phòng,1 phòng,,
https://batdongsan.com.vn/ban-dat-duong-ba-cha-xa-hung-long-5/chinh-chu-ban-gap-2-lo-lien-ke-1600m-lo-tai-binh-chanh-shr-gia-chi-5tr-m2-pr44197268,1.600 m²,,,6 tỷ,,,Sổ hồng,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/vin-bason-1pn-4-9-ty-2pn-7-ty-3pn-13-9-ty-hon-30-ngop-gia-tot-nhat-thi-truong-pr38877505,69 m²,Tây - Nam,Đông - Bắc,"14,8 tỷ",,Đầy đủ,Sổ đỏ/ Sổ hồng.,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/phong-kinh-doanh-chu-dau-tu-can-gio-cap-nhat-gia-ban-moi-nhat-thang-10-2025-pr44308564,270 m²,,,98 triệu/m²,,,,,,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-truong-luu-phuong-long-truong-prj-chung-cu-mt-eastmark-city/chu-dau-tu-nhan-booking-mat-tien-vanh-dai-3-da-co-so-hong-tien-ich-full-50tr-m2-pr44333858,63 m²,,,3 tỷ,,Cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,1 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-lo-lu-phuong-truong-thanh-prj-chung-cu-elysian/cap-nhat-gio-hang-gia-tot-nhat-thi-gd1-1pn-2pn-5-1-ty-3pn-6-4-ty-tt-5-ky-hdmb-pr44333663,80 m²,,,"5,2 tỷ",,Cơ bản,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-thu-thiem-prj-empire-city-thu-thiem/3pn-view-song-phao-hoa-quan-1-gia-tot-nhat-pr44245410,127 m²,Tây - Nam,Tây - Nam,40 tỷ,,Không nội thất,Hợp đồng mua bán,3 phòng,2 phòng,,
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huu-canh-phuong-22-prj-vinhomes-central-park/chuyen-ban-ch-1-2-3-4pn-penthouse-gia-tot-nhat-lh-thu-phuong-pr42303922,126 m²,Đông - Nam,Nam,"11,8 tỷ",,Full Nội Thất,Lâu dài,3 phòng,3 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-quang-trung-phuong-8-12/ban-khu-phan-lo-hiem-giam-500tr-hxh-p-8-go-vap-4-tang-4mx12m5-gia-6-ty-4-pr43836892,50 m²,,,"6,4 tỷ",4 m,Cơ bản,Sổ đỏ/ Sổ hồng,,,4 tầng,5 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-hoang-quoc-viet-phuong-phu-thuan-3-prj-river-panorama/ban-nhanh-quan-7-2pn-2wc-view-song-da-nhan-so-ng-cong-ngay-tro-vay-pr44316310,"64,5 m²",Bắc,Nam,"4,7 tỷ",,Cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-dat-duong-so-156-xa-binh-my/ban-vuon-khu-dan-cu-chi-tiet-1365m2-gan-cau-rach-tra-lam-nha-vuon-quan-an-kho-bai-pr41164304,1.365 m²,,,"9,5 tỷ",30 m,,Sổ đỏ/ Sổ hồng,,,,5 m
https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/ban-chinh-chu-tu-xay-shr-hem-3m-tt-be-pr44315206,"70,2 m²",,Bắc,"5,95 tỷ",3 m,Đầy đủ.,Sổ đỏ/ Sổ hồng,3 phòng,3 phòng,2 tầng,3 m
https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-thi-dong-thi-tran-nha-be/-pho-hien-dai-moi-hoan-en-7m-tt-full-noi-that-cao-cap-pr43894392,50 m²,,,"7,65 tỷ","5,3 m","- Tặng full nội thất giường tủ, sofa, bàn ăn, máy lạnh, tủ lạnh, tivi.",Sổ hồng riêng.,5 phòng,5 phòng,3 tầng,7 m
https://batdongsan.com.vn/ban-dat-duong-bung-ong-thoan-phuong-phu-huu-2/ban-lo-60m2-5-21x11-59m-hem-1-th-p-tp-thu-duc-gia-4-75-thu-lu-pr44174056,60 m²,,Tây - Bắc,"4,75 tỷ","5,21 m",,Sổ đỏ/ Sổ hồng,,,,10 m
https://batdongsan.com.vn/ban-nha-rieng-duong-so-40-phuong-hiep-binh-chanh/-8-1-ty-5-tang-hxh-40-hbc-gan-cho-gan-gigamall-pham-van-dong-pr44325851,51 m²,,Tây,"8,1 tỷ","4,2 m",,Sổ đỏ/ Sổ hồng,4 phòng,5 phòng,5 tầng,7 m
https://batdongsan.com.vn/ban-dat-duong-tinh-lo-43-phuong-binh-chieu/chu-can-ban-gap-khu-dan-cu-nam-cuong-43-thu-duc-56m2-ngang-4-3-05-ty-pr44292458,56 m²,,,"3,05 tỷ",4 m,,Sổ đỏ/ Sổ hồng.,,,,
https://batdongsan.com.vn/ban-nha-rieng-duong-bui-dinh-tuy-phuong-12-7/gap-ban-btct-4-tang-4-2x13-so-vuong-gan-mat-tien-nhinh-8-ty-binh-thanh-pr44315335,53 m²,,,"8,5 tỷ",4 m,,Sổ đỏ/ Sổ hồng,4 phòng,4 phòng,4 tầng,
https://batdongsan.com.vn/ban-nha-rieng-duong-huynh-tan-phat-thi-tran-nha-be/-pho-hien-dai-tre-trung-nt-cao-cap-lo-nhi-htp-cach-mt-30m-pr44315816,"47,3 m²",,Bắc,"4,85 tỷ",,"Tặng full nội thất như sofa, bàn trà, kệ tivi, bàn ăn, máy lạnh, giường nệm, tủ quần áo, tab đầu giường, bàn trang điểm.. Vvv.",Sổ đỏ/ Sổ hồng.,3 phòng,3 phòng,2 tầng,3 m
https://batdongsan.com.vn/ban-nha-rieng-pho-tran-dai-nghia-xa-tan-kien/ban-1tret1lau-lo-goc-2-mat-tien-duong-binh-chanh-dang-cho-thue-mo-van-phong-pr44332810,"80,5 m²",,Đông - Nam,"1,45 tỷ",6 m,Cơ bản,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,1 tầng,32 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-mai-chi-tho-phuong-an-phu-prj-eaton-park/-hom-nay-booking-uu-tien-chon-tai-by-gamuda-land-thap-lagoon-lh-pkd-pr44332906,70 m²,,,12 tỷ,,,Hợp đồng mua bán,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-rieng-duong-hung-nhon-xa-tan-kien/chinh-chu-ban-gap-mat-tien-ngay-cho-bo-ngua-1-lau-gia-780tr-dang-cho-thue-16tr-thang-pr44332677,125 m²,,,780 triệu,5 m,Cơ bản,Sổ đỏ/ Sổ hồng,4 phòng,3 phòng,1 tầng,10 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-tran-hung-dao-phuong-1-15-prj-kieu-by-kita/-so-hong-san-nhan-nha-ngay-trung-tam-quan-5-lien-he-pr44313236,90 m²,,,11 tỷ,,,Sổ đỏ/ Sổ hồng,2 phòng,,,
https://batdongsan.com.vn/ban-nha-mat-pho-duong-gia-phu-phuong-3-15/vcb-cn-nhuan-ban-phat-mai-tien-490-p6-q3-tp-hcm-46-5m2-10-2-ty-pr42432116,"46,5 m²",Nam,Nam,"7,4 tỷ",4 m,Cơ bản.,Sổ đỏ/ Sổ hồng.,,,2 tầng,12 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-pho-ton-duc-thang-phuong-ben-nghe-prj-vinhomes-golden-river-ba-son/gio-hang-chuyen-nhuong-vinmes-bason-nhung-gia-tot-5-pr33734356,160 m²,,,49 tỷ,,Đầy đủ,,4 phòng,2 phòng,,
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-xa-long-hoa-prj-vinhomes-green-paradise/gio-hang-dot-1-don-gia-chi-tu-x-x-trieu-m2-pho-gia-goc-cdt-chi-tiet-duoi-phan-mo-ta-pr44308765,270 m²,Đông - Nam,Đông - Nam,Thỏa thuận,,Cơ bản,Hợp đồng mua bán,4 phòng,4 phòng,4 tầng,
https://batdongsan.com.vn/ban-dat-duong-so-22-phuong-linh-dong/ban-2-lo-lien-ke-nhau-dt-100m2-5x20m-rong-7m-ngay-truong-tieu-hoc-binh-quoi-dong-pr44230811,100 m²,,,"6,95 tỷ",5 m,,Sổ đỏ/ Sổ hồng,,,,7 m
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dien-bien-phu-phuong-22-prj-vinhomes-central-park/ban-ch-du-loai-1-2-3-4-pn-gia-tot-nhat-thi-truong-khanh-huyen-pr41329892,86 m²,,,"8,2 tỷ",,NT cơ bản.,Sổ đỏ/ Sổ hồng,2 phòng,2 phòng,,
https://batdongsan.com.vn/ban-dat-duong-cay-trom-my-khanh-xa-thai-my/ban-nha-vuon-mat-tien-20m-nhua-gia-6tr-m2-giam-5-ty-pr44034822,1.991 m²,,,15 tỷ,20 m,,Sổ đỏ chính chủ,,,,12 m
